Program Version:,EnergyPlus, Version 9.6.0-f420c06a69, YMD=2024.05.14 12:32
Tabular Output Report in Format: ,Comma

Building:,US+MF+CZ7+gasfurnace+heatedbsmt+IECC_2021
Environment:,ANNUAL ** Quebec.City-Ste.Foy-Univ.Laval QC CAN Custom-713920 WMO#=713920

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over        24.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [kBtu],Energy Per Total Building Area [kBtu/ft2],Energy Per Conditioned Building Area [kBtu/ft2]
,Total Site Energy,6490.17,0.17,0.22
,Net Site Energy,6490.17,0.17,0.22
,Total Source Energy,9268.48,0.24,0.32
,Net Source Energy,9268.48,0.24,0.32


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [ft2]
,Total Building Area,39005.22
,Net Conditioned Building Area,29404.35
,Unconditioned Building Area,9600.87


End Uses

,,Electricity [kBtu],Natural Gas [kBtu],Gasoline [kBtu],Diesel [kBtu],Coal [kBtu],Fuel Oil No 1 [kBtu],Fuel Oil No 2 [kBtu],Propane [kBtu],Other Fuel 1 [kBtu],Other Fuel 2 [kBtu],District Cooling [kBtu],District Heating [kBtu],Water [gal]
,Heating,0.00,4320.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,106.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,51.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,721.84,481.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,192.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,616.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,933.99
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,
,Total End Uses,1072.08,5418.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,933.99
Note: Natural gas appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [kBtu],Natural Gas [kBtu],Gasoline [kBtu],Diesel [kBtu],Coal [kBtu],Fuel Oil No 1 [kBtu],Fuel Oil No 2 [kBtu],Propane [kBtu],Other Fuel 1 [kBtu],Other Fuel 2 [kBtu],District Cooling [kBtu],District Heating [kBtu],Water [gal]
,Interior Lighting,GENERAL,106.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,Unassigned,51.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,GENERAL,721.84,481.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,Unassigned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,Unassigned,192.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,Unassigned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,Unassigned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,Unassigned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,Unassigned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,Unassigned,0.00,616.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,933.99
,Refrigeration,Unassigned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,Unassigned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


Normalized Metrics
Utility Use Per Conditioned Floor Area

,,Electricity Intensity [kBtu/ft2],Natural Gas Intensity [kBtu/ft2],Gasoline Intensity [kBtu/ft2],Diesel Intensity [kBtu/ft2],Coal Intensity [kBtu/ft2],Fuel Oil No 1 Intensity [kBtu/ft2],Fuel Oil No 2 Intensity [kBtu/ft2],Propane Intensity [kBtu/ft2],Other Fuel 1 Intensity [kBtu/ft2],Other Fuel 2 Intensity [kBtu/ft2],District Cooling Intensity [kBtu/ft2],District Heating Intensity [kBtu/ft2],Water Intensity [gal/ft2]
,Lighting,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,HVAC,0.01,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
,Other,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Total,0.04,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03


Utility Use Per Total Floor Area

,,Electricity Intensity [kBtu/ft2],Natural Gas Intensity [kBtu/ft2],Gasoline Intensity [kBtu/ft2],Diesel Intensity [kBtu/ft2],Coal Intensity [kBtu/ft2],Fuel Oil No 1 Intensity [kBtu/ft2],Fuel Oil No 2 Intensity [kBtu/ft2],Propane Intensity [kBtu/ft2],Other Fuel 1 Intensity [kBtu/ft2],Other Fuel 2 Intensity [kBtu/ft2],District Cooling Intensity [kBtu/ft2],District Heating Intensity [kBtu/ft2],Water Intensity [gal/ft2]
,Lighting,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,HVAC,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
,Other,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Total,0.03,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02


Electric Loads Satisfied

,,Electricity [kBtu],Percent Electricity [%]
,Fuel-Fired Power Generation,0.000,0.00
,High Temperature Geothermal*,0.000,0.00
,Photovoltaic Power,0.000,0.00
,Wind Power,0.000,0.00
,Power Conversion,0.000,0.00
,Net Decrease in On-Site Storage,0.000,0.00
,Total On-Site Electric Sources,0.000,0.00
,,,
,Electricity Coming From Utility,1072.076,100.00
,Surplus Electricity Going To Utility,0.000,0.00
,Net Electricity From Utility,1072.076,100.00
,,,
,Total On-Site and Utility Electric Sources,1072.076,100.00
,Total Electricity End Uses,1072.076,100.00


On-Site Thermal Sources

,,Heat [kBtu],Percent Heat [%]
,Water-Side Heat Recovery,0.00,0.00
,Air to Air Heat Recovery for Cooling,0.00,0.00
,Air to Air Heat Recovery for Heating,801.07,100.00
,High-Temperature Geothermal*,0.00,0.00
,Solar Water Thermal,0.00,0.00
,Solar Air Thermal,0.00,0.00
,Total On-Site Thermal Sources,801.07,100.00


Water Source Summary

,,Water [gal],Percent Water [%]
,Rainwater Collection,0.00,0.00
,Condensate Collection,0.00,0.00
,Groundwater Well,0.00,0.00
,Total On Site Water Sources,0.00,0.00
,-,-,-
,Initial Storage,0.00,0.00
,Final Storage,0.00,0.00
,Change in Storage,0.00,0.00
,-,-,-
,Water Supplied by Utility,933.99,100.00
,-,-,-
,Total On Site, Change in Storage, and Utility Water Sources,933.99,100.00
,Total Water End Uses,933.99,100.00


Setpoint Not Met Criteria

,,Degrees [deltaF]
,Tolerance for Zone Heating Setpoint Not Met Time,0.36
,Tolerance for Zone Cooling Setpoint Not Met Time,0.36


Comfort and Setpoint Not Met Summary

,,Facility [Hours]
,Time Setpoint Not Met During Occupied Heating,0.00
,Time Setpoint Not Met During Occupied Cooling,0.00
,Time Not Comfortable Based on Simple ASHRAE 55-2004,24.00


Note 1: An asterisk (*) indicates that the feature is not yet implemented.
----------------------------------------------------------------------------------------------------
REPORT:,Input Verification and Results Summary
FOR:,Entire Facility
General

,,Value
,Program Version and Build,EnergyPlus, Version 9.6.0-f420c06a69, YMD=2024.05.14 12:32
,RunPeriod,ANNUAL
,Weather File,Quebec.City-Ste.Foy-Univ.Laval QC CAN Custom-713920 WMO#=713920
,Latitude [deg],46.78
,Longitude [deg],-71.3
,Elevation [ft],299.88
,Time Zone,-5.0
,North Axis Angle [deg],0.00
,Rotation for Appendix G [deg],0.00
,Hours Simulated [hrs],24.00


ENVELOPE
Window-Wall Ratio

,,Total,North (315 to 45 deg),East (45 to 135 deg),South (135 to 225 deg),West (225 to 315 deg)
,Gross Wall Area [ft2],18953.34,7014.93,2461.74,7014.93,2461.74
,Above Ground Wall Area [ft2],18953.34,7014.93,2461.74,7014.93,2461.74
,Window Opening Area [ft2],2126.74,531.68,531.68,531.68,531.68
,Gross Window-Wall Ratio [%],11.22,7.58,21.60,7.58,21.60
,Above Ground Window-Wall Ratio [%],11.22,7.58,21.60,7.58,21.60


Conditioned Window-Wall Ratio

,,Total,North (315 to 45 deg),East (45 to 135 deg),South (135 to 225 deg),West (225 to 315 deg)
,Gross Wall Area [ft2],18071.97,7014.93,2021.05,7014.93,2021.05
,Above Ground Wall Area [ft2],18071.97,7014.93,2021.05,7014.93,2021.05
,Window Opening Area [ft2],2126.74,531.68,531.68,531.68,531.68
,Gross Window-Wall Ratio [%],11.77,7.58,26.31,7.58,26.31
,Above Ground Window-Wall Ratio [%],11.77,7.58,26.31,7.58,26.31


Skylight-Roof Ratio

,,Total
,Gross Roof Area [ft2],8451.30
,Skylight Area [ft2],0.00
,Skylight-Roof Ratio [%],0.00


PERFORMANCE
Zone Summary

,,Area [ft2],Conditioned (Y/N),Part of Total Floor Area (Y/N),Volume [ft3],Multipliers,Above Ground Gross Wall Area [ft2],Underground Gross Wall Area [ft2],Window Glass Area [ft2],Opening Area [ft2],Lighting [Btu/h-ft2],People [ft2 per person],Plug and Process [Btu/h-ft2]
,HEATEDBSMT,7794.39,Yes,Yes,58539.52,1.00,2775.37,0.00,0.00,0.00,0.0000,,0.0000
,BREEZEWAY,1798.16,No,Yes,30553.25,1.00,0.00,0.00,0.00,0.00,0.0000,,0.0000
,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.55,Yes,Yes,10207.81,1.00,934.97,0.00,147.69,147.69,0.5831,600.28,4.4634
,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1200.55,Yes,Yes,10207.81,1.00,679.51,0.00,59.08,59.08,0.5831,600.28,4.4634
,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1200.55,Yes,Yes,10207.81,1.00,934.97,0.00,147.69,147.69,0.5831,600.28,4.4634
,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1200.55,Yes,Yes,10207.81,1.00,934.97,0.00,147.69,147.69,0.5831,600.28,4.4634
,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1200.55,Yes,Yes,10207.81,1.00,679.51,0.00,59.08,59.08,0.5831,600.28,4.4634
,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.55,Yes,Yes,10207.81,1.00,934.97,0.00,147.69,147.69,0.5831,600.28,4.4634
,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.55,Yes,Yes,10207.71,1.00,934.96,0.00,147.69,147.69,0.5831,600.28,4.4634
,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.55,Yes,Yes,10207.71,1.00,679.51,0.00,59.08,59.08,0.5831,600.28,4.4634
,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.55,Yes,Yes,10207.71,1.00,934.96,0.00,147.69,147.69,0.5831,600.28,4.4634
,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.55,Yes,Yes,10207.71,1.00,934.96,0.00,147.69,147.69,0.5831,600.28,4.4634
,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.55,Yes,Yes,10207.71,1.00,679.51,0.00,59.08,59.08,0.5831,600.28,4.4634
,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.55,Yes,Yes,10207.71,1.00,934.96,0.00,147.69,147.69,0.5831,600.28,4.4634
,ATTIC,7802.71,No,Yes,52795.56,1.00,881.37,0.00,0.00,0.00,0.0000,,0.0000
,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.55,Yes,Yes,10207.71,1.00,934.96,0.00,147.69,147.69,0.5831,600.28,4.4634
,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.55,Yes,Yes,10207.71,1.00,934.96,0.00,147.69,147.69,0.5831,600.28,4.4634
,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.55,Yes,Yes,10207.71,1.00,934.96,0.00,147.69,147.69,0.5831,600.28,4.4634
,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.55,Yes,Yes,10207.71,1.00,679.51,0.00,59.08,59.08,0.5831,600.28,4.4634
,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.55,Yes,Yes,10207.71,1.00,679.51,0.00,59.08,59.08,0.5831,600.28,4.4634
,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.55,Yes,Yes,10207.71,1.00,934.96,0.00,147.69,147.69,0.5831,600.28,4.4634
,Total,39005.22,,,325627.71,,18953.34,0.00,2126.74,2126.74,0.3230,1083.48,2.4729
,Conditioned Total,29404.35,,,242278.90,,18071.97,0.00,2126.74,2126.74,0.4285,816.79,3.2803
,Unconditioned Total,9600.87,,,83348.81,,881.37,0.00,0.00,0.00,0.0000,,0.0000
,Not Part of Total,0.00,,,0.00,,0.00,0.00,0.00,0.00,,,


Space Summary

,,Area [ft2],Conditioned (Y/N),Part of Total Floor Area (Y/N),Multipliers,Zone Name,Space Type,Radiant/Solar Enclosure Name,Lighting [Btu/h-ft2],People [ft2 per person],Plug and Process [Btu/h-ft2],Tags
,HEATEDBSMT,7794.39,Yes,Yes,1.00,HEATEDBSMT,GENERAL,HEATEDBSMT,0.0000,0.00,0.0000,
,BREEZEWAY,1798.16,No,Yes,1.00,BREEZEWAY,GENERAL,BREEZEWAY,0.0000,0.00,0.0000,
,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.55,Yes,Yes,1.00,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,GENERAL,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,0.5831,600.28,4.4634,
,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1200.55,Yes,Yes,1.00,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,GENERAL,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,0.5831,600.28,4.4634,
,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1200.55,Yes,Yes,1.00,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,GENERAL,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,0.5831,600.28,4.4634,
,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1200.55,Yes,Yes,1.00,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,GENERAL,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,0.5831,600.28,4.4634,
,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1200.55,Yes,Yes,1.00,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,GENERAL,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,0.5831,600.28,4.4634,
,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.55,Yes,Yes,1.00,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,GENERAL,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,0.5831,600.28,4.4634,
,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.55,Yes,Yes,1.00,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,GENERAL,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,0.5831,600.28,4.4634,
,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.55,Yes,Yes,1.00,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,GENERAL,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,0.5831,600.28,4.4634,
,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.55,Yes,Yes,1.00,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,GENERAL,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,0.5831,600.28,4.4634,
,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.55,Yes,Yes,1.00,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,GENERAL,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,0.5831,600.28,4.4634,
,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.55,Yes,Yes,1.00,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,GENERAL,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,0.5831,600.28,4.4634,
,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.55,Yes,Yes,1.00,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,GENERAL,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,0.5831,600.28,4.4634,
,ATTIC,7802.71,No,Yes,1.00,ATTIC,GENERAL,ATTIC,0.0000,0.00,0.0000,
,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.55,Yes,Yes,1.00,LIVING_UNIT3_BACKROW_TOPFLOOR,GENERAL,LIVING_UNIT3_BACKROW_TOPFLOOR,0.5831,600.28,4.4634,
,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.55,Yes,Yes,1.00,LIVING_UNIT3_FRONTROW_TOPFLOOR,GENERAL,LIVING_UNIT3_FRONTROW_TOPFLOOR,0.5831,600.28,4.4634,
,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.55,Yes,Yes,1.00,LIVING_UNIT1_FRONTROW_TOPFLOOR,GENERAL,LIVING_UNIT1_FRONTROW_TOPFLOOR,0.5831,600.28,4.4634,
,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.55,Yes,Yes,1.00,LIVING_UNIT2_BACKROW_TOPFLOOR,GENERAL,LIVING_UNIT2_BACKROW_TOPFLOOR,0.5831,600.28,4.4634,
,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.55,Yes,Yes,1.00,LIVING_UNIT2_FRONTROW_TOPFLOOR,GENERAL,LIVING_UNIT2_FRONTROW_TOPFLOOR,0.5831,600.28,4.4634,
,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.55,Yes,Yes,1.00,LIVING_UNIT1_BACKROW_TOPFLOOR,GENERAL,LIVING_UNIT1_BACKROW_TOPFLOOR,0.5831,600.28,4.4634,
,Total,39005.22,,,,,,,0.3230,541.74,2.4729,
